Fecha,Apertura,Cierre,Máxima,Mínima,Promedio
30/04/2019,0.7,0.7,0.7,0.7,0.7
29/04/2019,0.72,0.7,0.72,0.7,0.7
26/04/2019,0.72,0.72,0.72,0.72,0.71
25/04/2019,0.72,0.7,0.72,0.7,0.71
24/04/2019,0.72,0.71,0.72,0.71,0.71
23/04/2019,0.72,0.72,0.72,0.72,0.7
22/04/2019,0.72,0.72,0.72,0.72,0.7
17/04/2019,0.72,0.72,0.72,0.72,0.72
16/04/2019,0.72,0.72,0.72,0.72,0.72
15/04/2019,0.72,0.72,0.72,0.72,0.71
12/04/2019,0.72,0.72,0.72,0.72,0.72
11/04/2019,0.72,0.72,0.72,0.72,0.72
10/04/2019,0.72,0.72,0.72,0.72,0.71
09/04/2019,0.73,0.72,0.73,0.72,0.72
08/04/2019,0.73,0.73,0.73,0.73,0.73
05/04/2019,0.73,0.73,0.73,0.73,0.73
04/04/2019,0.73,0.73,0.73,0.73,0.73
03/04/2019,0.73,0.73,0.73,0.73,0.73
02/04/2019,0.73,0.73,0.73,0.73,0.72
01/04/2019,0.74,0.74,0.74,0.74,0.73
29/03/2019,0.74,0.74,0.74,0.74,0.74
28/03/2019,0.74,0.74,0.74,0.74,0.74
27/03/2019,0.74,0.74,0.74,0.74,0.74
26/03/2019,0.74,0.74,0.74,0.74,0.74
25/03/2019,0.7,0.7,0.7,0.7,0.7
22/03/2019,0.7,0.7,0.7,0.7,0.7
21/03/2019,0.7,0.7,0.7,0.7,0.7
20/03/2019,0.7,0.7,0.7,0.7,0.7
19/03/2019,0.69,0.69,0.69,0.69,0.69
18/03/2019,0.69,0.69,0.69,0.69,0.69
15/03/2019,0.69,0.69,0.69,0.69,0.68
14/03/2019,0.67,0.67,0.67,0.67,0.67
13/03/2019,0.67,0.67,0.67,0.67,0.67
12/03/2019,0.67,0.67,0.67,0.67,0.67
11/03/2019,0.67,0.67,0.67,0.67,0.67
08/03/2019,0.67,0.67,0.67,0.67,0.67
07/03/2019,0.67,0.67,0.67,0.67,0.67
06/03/2019,0.65,0.65,0.65,0.65,0.65
05/03/2019,0.65,0.65,0.65,0.65,0.65
04/03/2019,0.65,0.65,0.65,0.65,0.65
01/03/2019,0.64,0.64,0.64,0.64,0.64
28/02/2019,0.64,0.64,0.64,0.64,0.64
27/02/2019,0.63,0.63,0.63,0.63,0.63
26/02/2019,0.63,0.63,0.63,0.63,0.63
25/02/2019,0.62,0.62,0.62,0.62,0.61
22/02/2019,0.6,0.62,0.62,0.6,0.62
21/02/2019,0.62,0.6,0.62,0.59,0.6
20/02/2019,0.62,0.62,0.62,0.62,0.61
19/02/2019,0.62,0.62,0.62,0.62,0.62
18/02/2019,0.62,0.62,0.62,0.62,0.61
15/02/2019,0.62,0.62,0.62,0.62,0.62
14/02/2019,0.62,0.62,0.62,0.62,0.62
13/02/2019,0.62,0.62,0.62,0.62,0.62
12/02/2019,0.62,0.62,0.62,0.62,0.62
11/02/2019,0.62,0.62,0.62,0.62,0.62
08/02/2019,0.62,0.62,0.62,0.62,0.62
07/02/2019,0.62,0.62,0.62,0.62,0.62
06/02/2019,0.63,0.63,0.63,0.63,0.61
05/02/2019,0.6,0.61,0.61,0.6,0.61
04/02/2019,0.61,0.6,0.61,0.6,0.6
01/02/2019,0.61,0.61,0.61,0.61,0.6
31/01/2019,0.61,0.61,0.61,0.61,0.6
30/01/2019,0.61,0.61,0.61,0.61,0.6
29/01/2019,0.61,0.61,0.61,0.61,0.6
28/01/2019,0.59,0.59,0.59,0.59,0.59
25/01/2019,0.6,0.6,0.6,0.6,0.6
24/01/2019,0.6,0.6,0.6,0.6,0.6
23/01/2019,0.6,0.6,0.6,0.6,0.58
22/01/2019,0.61,0.61,0.61,0.61,0.61
21/01/2019,0.61,0.61,0.61,0.61,0.6
18/01/2019,0.62,0.62,0.62,0.62,0.62
17/01/2019,0.6,0.6,0.6,0.6,0.6
16/01/2019,0.6,0.6,0.6,0.6,0.6
15/01/2019,0.6,0.6,0.6,0.6,0.6
14/01/2019,0.6,0.6,0.6,0.6,0.6
11/01/2019,0.6,0.6,0.6,0.6,0.6
10/01/2019,0.6,0.6,0.6,0.6,0.6
09/01/2019,0.6,0.6,0.6,0.6,0.6
08/01/2019,0.58,0.59,0.59,0.58,0.59
07/01/2019,0.6,0.58,0.6,0.58,0.58
04/01/2019,0.6,0.6,0.6,0.6,0.6
03/01/2019,0.6,0.6,0.6,0.6,0.6
02/01/2019,0.6,0.6,0.6,0.6,0.6
31/12/2018,0.6,0.6,0.6,0.6,0.6
28/12/2018,0.6,0.6,0.6,0.6,0.6
27/12/2018,0.6,0.6,0.6,0.6,0.6
26/12/2018,0.61,0.61,0.61,0.61,0.61
24/12/2018,0.63,0.63,0.63,0.63,0.62
21/12/2018,0.61,0.61,0.61,0.61,0.61
20/12/2018,0.65,0.65,0.65,0.65,0.64
19/12/2018,0.65,0.65,0.65,0.65,0.63
18/12/2018,0.62,0.62,0.62,0.62,0.63
