Fecha,Apertura,Cierre,Maxima,Minima,Promedio
03/01/2012,0.9,0.9,0.9,0.9,0.9
05/01/2012,0.88,0.88,0.88,0.88,0.88
06/01/2012,0.86,0.85,0.86,0.85,0.86
09/01/2012,0.86,0.86,0.86,0.86,0.86
10/01/2012,0.87,0.88,0.88,0.87,0.88
11/01/2012,0.86,0.86,0.86,0.86,0.86
12/01/2012,0.87,0.89,0.89,0.87,0.88
13/01/2012,0.89,0.89,0.89,0.89,0.89
16/01/2012,0.9,0.9,0.9,0.9,0.9
17/01/2012,0.9,0.89,0.9,0.89,0.9
18/01/2012,0.89,0.89,0.89,0.89,0.89
19/01/2012,0.87,0.86,0.88,0.86,0.87
20/01/2012,0.86,0.88,0.88,0.86,0.88
23/01/2012,0.88,0.88,0.88,0.88,0.88
24/01/2012,0.88,0.88,0.89,0.88,0.88
25/01/2012,0.88,0.88,0.88,0.88,0.88
26/01/2012,0.88,0.89,0.89,0.88,0.88
27/01/2012,0.89,0.9,0.9,0.89,0.9
30/01/2012,0.88,0.92,0.92,0.88,0.9
31/01/2012,0.91,0.95,0.95,0.9,0.93
01/02/2012,0.92,0.94,0.95,0.92,0.94
02/02/2012,0.94,0.94,0.95,0.93,0.94
03/02/2012,0.95,0.96,0.96,0.95,0.96
06/02/2012,0.96,0.98,0.98,0.96,0.97
07/02/2012,0.97,0.97,0.97,0.97,0.97
08/02/2012,0.98,0.97,0.98,0.96,0.97
09/02/2012,0.98,0.98,0.98,0.98,0.98
10/02/2012,0.97,0.96,0.97,0.95,0.96
13/02/2012,0.97,0.96,0.97,0.95,0.96
15/02/2012,0.95,0.96,0.96,0.95,0.95
16/02/2012,0.96,0.96,0.98,0.95,0.97
17/02/2012,0.95,0.97,0.97,0.95,0.97
20/02/2012,0.95,0.97,0.97,0.95,0.97
21/02/2012,0.96,0.96,0.97,0.96,0.96
23/02/2012,0.92,0.95,0.95,0.92,0.94
24/02/2012,0.94,0.94,0.94,0.94,0.94
27/02/2012,0.93,0.94,0.94,0.93,0.93
28/02/2012,0.94,0.94,0.94,0.94,0.94
29/02/2012,0.93,0.93,0.93,0.93,0.93
01/03/2012,0.93,0.94,0.94,0.92,0.93
02/03/2012,0.92,0.96,0.96,0.92,0.96
05/03/2012,0.94,0.94,0.94,0.94,0.94
06/03/2012,0.93,0.93,0.93,0.92,0.93
07/03/2012,0.92,0.94,0.94,0.92,0.94
08/03/2012,0.94,0.93,0.94,0.92,0.93
09/03/2012,0.92,0.95,0.95,0.92,0.95
12/03/2012,0.93,0.94,0.94,0.93,0.94
13/03/2012,0.94,0.95,0.95,0.94,0.95
14/03/2012,0.95,0.94,0.95,0.93,0.94
16/03/2012,0.94,0.93,0.94,0.93,0.94
19/03/2012,0.92,0.95,0.95,0.92,0.94
20/03/2012,0.95,0.95,0.96,0.95,0.95
21/03/2012,0.95,0.95,0.95,0.95,0.95
22/03/2012,0.93,0.93,0.94,0.93,0.93
23/03/2012,0.94,0.95,0.95,0.93,0.94
26/03/2012,0.94,0.96,0.96,0.94,0.96
27/03/2012,0.97,0.98,0.98,0.97,0.97
28/03/2012,0.98,0.98,0.99,0.98,0.98
30/03/2012,0.98,1,1.01,0.98,1
02/04/2012,1,1.03,1.03,1,1.01
03/04/2012,1.02,1.03,1.04,1.02,1.04
04/04/2012,1.02,1,1.02,1,1
09/04/2012,1,0.99,1,0.98,0.99
10/04/2012,0.99,0.98,0.99,0.97,0.98
11/04/2012,0.98,0.99,0.99,0.98,0.98
12/04/2012,1,1.01,1.01,0.98,1
13/04/2012,1.01,1,1.01,1,1
16/04/2012,1,1,1,1,1
17/04/2012,1,1,1,0.99,1
19/04/2012,0.99,0.99,0.99,0.98,0.99
20/04/2012,0.99,0.99,0.99,0.99,0.99
25/04/2012,0.97,1,1,0.95,0.99
26/04/2012,0.97,1,1,0.97,1
27/04/2012,0.97,0.99,0.99,0.97,0.99
30/04/2012,0.98,0.98,0.98,0.98,0.98
02/05/2012,0.95,0.94,0.95,0.94,0.94
03/05/2012,0.92,0.92,0.92,0.9,0.92
04/05/2012,0.92,0.92,0.92,0.92,0.92
07/05/2012,0.9,0.9,0.9,0.9,0.9
08/05/2012,0.88,0.85,0.88,0.84,0.86
09/05/2012,0.85,0.85,0.85,0.85,0.85
10/05/2012,0.86,0.85,0.86,0.85,0.86
11/05/2012,0.85,0.85,0.85,0.85,0.85
14/05/2012,0.83,0.83,0.83,0.83,0.83
15/05/2012,0.83,0.82,0.83,0.82,0.83
16/05/2012,0.79,0.78,0.8,0.78,0.79
17/05/2012,0.77,0.74,0.77,0.72,0.75
18/05/2012,0.71,0.7,0.71,0.7,0.7
21/05/2012,0.7,0.72,0.72,0.7,0.71
22/05/2012,0.75,0.74,0.75,0.74,0.75
23/05/2012,0.73,0.73,0.73,0.71,0.72
28/05/2012,0.73,0.73,0.73,0.73,0.73
29/05/2012,0.73,0.73,0.73,0.73,0.73
30/05/2012,0.71,0.72,0.73,0.71,0.72
31/05/2012,0.72,0.72,0.72,0.72,0.72
01/06/2012,0.71,0.71,0.71,0.71,0.71
04/06/2012,0.68,0.7,0.7,0.68,0.69
05/06/2012,0.7,0.7,0.7,0.7,0.7
06/06/2012,0.7,0.73,0.73,0.7,0.73
07/06/2012,0.73,0.73,0.73,0.73,0.73
08/06/2012,0.73,0.74,0.75,0.73,0.74
12/06/2012,0.74,0.72,0.74,0.72,0.74
13/06/2012,0.73,0.72,0.73,0.71,0.72
14/06/2012,0.71,0.71,0.71,0.71,0.71
15/06/2012,0.7,0.7,0.7,0.7,0.7
18/06/2012,0.7,0.72,0.72,0.7,0.72
19/06/2012,0.72,0.72,0.72,0.72,0.72
20/06/2012,0.71,0.71,0.71,0.71,0.71
21/06/2012,0.71,0.71,0.71,0.71,0.71
22/06/2012,0.7,0.72,0.72,0.7,0.71
25/06/2012,0.7,0.72,0.72,0.7,0.72
26/06/2012,0.72,0.72,0.72,0.72,0.72
02/07/2012,0.72,0.74,0.74,0.72,0.73
03/07/2012,0.74,0.75,0.75,0.74,0.75
05/07/2012,0.74,0.74,0.74,0.73,0.74
06/07/2012,0.73,0.74,0.74,0.73,0.74
09/07/2012,0.73,0.73,0.73,0.73,0.73
10/07/2012,0.72,0.72,0.72,0.71,0.72
11/07/2012,0.71,0.71,0.71,0.71,0.71
12/07/2012,0.71,0.71,0.71,0.71,0.71
13/07/2012,0.72,0.72,0.72,0.72,0.72
16/07/2012,0.71,0.72,0.72,0.7,0.71
18/07/2012,0.73,0.73,0.73,0.73,0.73
19/07/2012,0.73,0.73,0.73,0.72,0.73
23/07/2012,0.7,0.71,0.71,0.7,0.71
24/07/2012,0.7,0.7,0.7,0.7,0.7
25/07/2012,0.67,0.69,0.69,0.67,0.68
26/07/2012,0.67,0.69,0.69,0.67,0.68
27/07/2012,0.67,0.7,0.7,0.67,0.69
30/07/2012,0.68,0.68,0.68,0.68,0.68
31/07/2012,0.66,0.68,0.68,0.65,0.67
01/08/2012,0.66,0.67,0.67,0.66,0.66
02/08/2012,0.66,0.67,0.67,0.65,0.66
